ploidy,experiment,sample.ID,fraction,ug.N,d15N,ug.C,d13C,C.N,average?,d15N.h.s,d13C.h.s
diploid,insitu,313D,host,52.1,4.9,273.5,-17.1,5.25,,0.3,0.2
diploid,insitu,313D,symbiont,26.6,4.6,198.9,-17.3,7.48,,,
diploid,insitu,44D,host,52.1,4.8,238.4,-17.8,4.58,,0,0.8
diploid,insitu,44D,symbiont,6.6,4.8,47.5,-18.6,7.2,,,
diploid,insitu,61D,host,40.7,4.8,206.2,-18.4,5.07,,NA,0.2
diploid,insitu,61D,symbiont,7.9,NA,50,-18.6,6.33,,,
diploid,insitu,73D,host,40.1,4.7,190.9,-17.7,4.8,< average,0.8,0.4
diploid,insitu,73D,symbiont,5.6,3.9,40,-18,7,< average,,
diploid,insitu,84D,host,36.9,4.6,200.7,-17.7,5.44,,0.4,0.2
diploid,insitu,84D,symbiont,7.7,4.2,59.6,-17.9,7.6,< average,,
diploid,insitu,88D,host,30.1,4.9,135.3,-16.2,4.5,,-0.3,0.3
diploid,insitu,88D,symbiont,11.7,5.2,54.8,-16.5,4.68,,,
diploid,insitu,91D,host,36.3,5,189.8,-15.9,5.23,,0.8,0.1
diploid,insitu,91D,symbiont,10.8,4.2,66.6,-16,6.17,,,
triploid,insitu,124T,host,36.9,5,179.4,-16.8,4.86,,NA,0.5
triploid,insitu,124T,symbiont,10,NA,67.8,-17.3,6.78,,,
triploid,insitu,141T,host,40.1,4.7,161.8,-17.2,4.03,,-0.1,0.5
triploid,insitu,141T,symbiont,9.6,4.8,66.3,-17.7,6.91,,,
triploid,insitu,162T,host,60.2,4.7,301.9,-16,5.01,,-0.4,0.1
triploid,insitu,162T,symbiont,9.6,5.1,67.3,-16.1,7.01,,,
triploid,insitu,175T,host,54.1,4.8,270.3,-17.9,5,,NA,0.1
triploid,insitu,175T,symbiont,9.9,NA,66,-18,6.67,,,
triploid,insitu,176T,host,43.1,4.8,191.2,-17.7,4.44,,NA,0.8
triploid,insitu,176T,symbiont,4.9,NA,36.5,-18.5,7.45,,,
triploid,insitu,181T,host,41.1,5,217.9,-16.9,5.3,< average,NA,NA
triploid,insitu,181T,symbiont,NA,NA,NA,NA,NA,,,
triploid,insitu,194T,host,44.7,4.6,219.5,-17.3,4.9,< average,NA,1
triploid,insitu,194T,symbiont,5.3,NA,33.3,-18.3,6.28,,,
triploid,insitu,197T,host,26.1,4.5,113.6,-16.4,4.35,,-0.3,0.2
triploid,insitu,197T,symbiont,11.6,4.8,76.3,-16.6,6.58,,,
triploid,insitu,236T,host,33.7,4.8,147.8,-17.3,4.39,,0,0.2
triploid,insitu,236T,symbiont,10,4.8,70.2,-17.5,7.02,,,
triploid,insitu,237T,host,39.2,4.6,181.6,-16.2,4.63,,0.5,-0.5
triploid,insitu,237T,symbiont,8.4,4.1,53.6,-15.7,6.4,< average,,
triploid,insitu,249T,host,41.5,4.2,188,-16.9,4.53,,-0.8,-0.2
triploid,insitu,249T,symbiont,16,5,85.2,-16.7,5.33,,,
triploid,insitu,256T,host,61.3,4.7,361.4,-18,5.9,,NA,0.7
triploid,insitu,256T,symbiont,4.6,NA,27.8,-18.7,6.04,,,
triploid,insitu,262T,host,25.4,4.3,107.1,-17.4,4.22,,-0.2,0.9
triploid,insitu,262T,symbiont,8.2,4.5,60.3,-18.3,7.35,,,
triploid,insitu,268T,host,NA,NA,NA,NA,NA,,NA,NA
triploid,insitu,268T,symbiont,4.4,NA,32.4,-17.1,7.36,,,
triploid,insitu,269T,host,28.7,4.8,135.6,-16.7,4.8,< average,NA,1
triploid,insitu,269T,symbiont,4.7,NA,32.5,-17.6,6.91,,,
triploid,insitu,288T,host,35.5,4.3,155.4,-16.4,4.38,,NA,NA
triploid,insitu,288T,symbiont,NA,NA,NA,NA,NA,,,
triploid,insitu,298T,host,28.9,4.7,131.7,-17.8,4.56,,NA,0.9
triploid,insitu,298T,symbiont,5.6,NA,39,-18.7,6.96,,,
triploid,insitu,305T,host,23.9,4.6,101.7,-16.2,4.26,,NA,1.6
triploid,insitu,305T,symbiont,3.4,NA,22.5,-17.8,6.62,,,
triploid,insitu,310T,host,43.4,4.6,215.8,-17.9,5,< average,NA,0.7
triploid,insitu,310T,symbiont,6,NA,49.2,-18.6,8.2,,,
triploid,insitu,314T,host,31.4,4.7,159.6,-18,5.08,,0.4,0.2
triploid,insitu,314T,symbiont,8.2,4.3,63.6,-18.2,7.76,,,
triploid,insitu,323T,host,80.4,4.8,446.3,-17.5,5.55,,0.9,0.7
triploid,insitu,323T,symbiont,13.3,4,99.1,-18.2,7.4,< average,,
triploid,insitu,327T,host,27.6,4.8,142.1,-15.4,5.1,< average,NA,2.3
triploid,insitu,327T,symbiont,2.8,NA,16.7,-17.7,5.96,,,
triploid,insitu,83T,host,24.9,4.8,111.9,-18.1,4.49,,0.8,-0.1
triploid,insitu,83T,symbiont,6.9,4,56.2,-18,8.14,,,
triploid,insitu,95T,host,34.3,5,169.1,-15.2,4.93,,NA,-0.1
triploid,insitu,95T,symbiont,9.7,NA,55.5,-15.1,5.72,,,
